"M80,cluster,globular,,scorpius,16h 17m 02.41s,-22å¡58‰Ûª33.9‰Û,""32,600 light years (10,000 parsecs)"",+7.87,,10‰Û_,48 light years,ii,12.54 billion years,""> 200,000"",,,,,,,,,,,,1781.0,Messier";
"M81,galaxy,spiral,,ursa major,09h 55m 33.2s,+69å¡03‰Ûª55‰Û,11.8 million light years (3.62 megaparsecs),+6.94,,26‰Û_.9 x 14‰Û_.1,""45,000 light years"",""sa(s)ab, liner"",,> 250 billion,,,,‰öÕ0.000113,,73 km/s,,,,-34 km/s,,1774.0,Bode";
"M82,galaxy,irregular,starburst galaxy,ursa major,09h 55m 52.2s,+69å¡40‰Ûª47‰Û,11.4 ‰ÛÒ 12.4 million light years (3.5 ‰ÛÒ 3.8 megaparsecs),+8.41,,11‰Û_.2 x 4‰Û_.3,,i0,,> 30 billion,,,,203 km/s,,,,,""37,000 light years"",,,1774.0,Bode";
"M83,galaxy,barred spiral,,hydra,13h 37m 00.9s,-29å¡51‰Ûª57‰Û,15.21 million light years (4.61 megaparsecs),+7.54,,12‰Û_.9 x 11‰Û_.5,""27,500 light years"",sab(s)c,,40 billion,,,,513 km/s,,,,,,,,1751.0,Lacaille";
"M84,galaxy,elliptical or lenticular,,virgo,12h 25m 03.7s,+12å¡53‰Ûª13‰Ûª,60 million light years (18.4 megaparsecs),+10.1,,6‰Û_.5 x 5‰Û_.6,""55,000 light years"",e1,,400 billion,,,,""1,060 km/s"",,,,,,,,1781.0,Messier";
"M85,galaxy,lenticular or elliptical,,coma berenices,12h 25m 24.0s,+18å¡11‰Ûª28‰Û,60 million light years (18.5 megaparsecs),+10.0,,7‰Û_.1 x 5‰Û_.5,""62,500 light years"",sa(s)0+ pec or e2,,400 billion,,,,729 km/s,,,,,,,,1781.0,MÌ©chain";
"M86,galaxy,elliptical or lenticular,highest blueshift of all messier objects,virgo,12h 26m 11.7s,+12å¡56‰Ûª46‰Û,52 million light years (15.9 megaparsecs),+9.8,,8‰Û_.9 x 5‰Û_.8,""67,500 light years"",s0(3) or e3,,> 400 billion,,,,-0.000814 (-244 km/s),,,,,,,,1781.0,Messier";
"M87,galaxy,elliptical,enormous relativistic jet,virgo,12h 30m 49.42338s,+12å¡23‰Ûª28.0439‰Û,53.5 million light years (16.40 megaparsecs),+9.59,-22.0,7‰Û_.2 x 6‰Û_.8,""60,000 light years"",""e+0-1 pec, nlrg sy"",,1 trillion,,,,0.004360,,""1,254 km/s"",,,,""1,307 km/s"",,1781.0,Messier";
"M88,galaxy,spiral,""receding from us at 2,281 km/s"",coma berenices,12h 31m 59.2s,+14å¡25‰Ûª14‰Û,47 million light years (14.41 megaparsecs),+10.4,,6‰Û_.9 x 3‰Û_.7,""52,500 light years"",""sa(rs)b, hii sy2"",,400 billion,,,,0.007609,,""2,235 km/s"",,,,""2,281 km/s"",,1781.0,Messier";
"M89,galaxy,elliptical,appears almost perfectly spherical,virgo,12h 35m 39.8s,+12å¡33‰Ûª23‰Û,50 million light years (15.33 megaparsecs),+10.73,,5‰Û_.1 x 4‰Û_.7,""40,000 light years"",""e0, liner, hiisy2"",,100 billion,,,,0.001134,,290 km/s,,,,340 km/s,,1781.0,Messier";
"M9,cluster,globular,,ophiuchus,17h 19m 11.78s,-18å¡30‰Ûª58.5‰Û,""25,800 light years (7,900 parsecs)"",+8.42,-8.04,12‰Û_,45 light years,viii,12 billion years,"">250,000"",,,,,,,,,,,,1764.0,Messier";
"M90,galaxy,spiral,,virgo,12h 36m 49.8s,+13å¡09‰Ûª46‰Û,58.7 million light years (18 megaparsecs),+10.26,-22.0,9‰Û_.5 x 4‰Û_.4,""82,500 light years"",""sab(rs)ab, liner, sy"",,1 trillion,,,,-0.000784,,‰ÛÒ 282 km/s,,,,-235 km/s,,1781.0,Messier";
"M91,galaxy,barred spiral,,coma berenices,12h 35m 26.4s,+14å¡35m 26.4s,63 million light years (19 megaparsecs),+11.0,,5‰Û_.4 x 4‰Û_.3,""50,000 light years"",sbb(rs),,400 billion,,,,486 km/s,,,,,,,,1781.0,Messier";
